key	keyword	definition	description	source
System	system	A system is a group of interacting or interrelated entities that form a unified whole. A system is described by its spatial and temporal boundaries, surrounded and influenced by its environment, described by its structure and purpose and expressed in its functioning. Systems are the subjects of study of systems theory.	set of interacting or interdependent components	wikipedia
System	system	an organized structure for arranging or classifying	arrangement, organization, organisation, system	wordnet
System	system	a set of things working together as parts of a mechanism or an interconnecting network; a complex whole.	NA	owlbot
System	system	A system is instrumentation	NA	GenericsKB
Operator	operator	Backstreet Dreams is the eighth album by Blue System	album by Blue System	wikipedia
Operator	operator	someone who owns or operates a business	operator	wordnet
Operator	operator	a person or company that runs a business.	NA	owlbot
Operator	operator	Operators are located in subways	NA	GenericsKB
Garage	garage	A bus garage , also known as a bus depot , bus base or bus barn , is a facility where buses are stored and maintained	storage and maintenance facility for vehicles; building where vehicles are housed, washed, serviced	wikipedia
Garage	garage	a repair shop where cars and trucks are serviced and repaired	garage, service_department	wordnet
Garage	garage	a style of unpolished, energetic rock music associated with suburban amateur bands.	NA	owlbot
Garage	garage	A garage is a building	NA	GenericsKB
Vehicle	vehicle	A vehicle is a machine that transports people or cargo. Vehicles include wagons, bicycles, motor vehicles , railed vehicles , watercraft , amphibious vehicles , aircraft and spacecraft. Land vehicles are classified broadly by what is used to apply steering and drive forces against the ground: wheeled, tracked, railed or skied. ISO 3833-1977 is the standard, also internationally used in legislation, for road vehicles types, terms and definitions.	mobile machine that transports people, animals or cargo	wikipedia
Vehicle	vehicle	a conveyance that transports people or objects	vehicle	wordnet
Vehicle	vehicle	a thing used to express, embody, or fulfil something.	NA	owlbot
Vehicle	vehicle	Vehicle is a transport	NA	GenericsKB
Began service	begin	Begin is the debut album by American duo Lion Babe	album by Lion Babe	wikipedia
Began service	service	Altruism is the principle and moral practice of concern for happiness of other human beings or animals, resulting in a quality of life both material and spiritual	principle or practice of concern for the welfare of others	wikipedia
Began service	began	have a beginning, in a temporal, spatial, or evaluative sense	begin, start	wordnet
Began service	service	a force that is a branch of the armed forces	military_service, armed_service, service	wordnet
Began service	begin	Begins cause begins	NA	GenericsKB
Began service	service	A service is work	NA	GenericsKB
Locale	locale	A locale , is the main local organizational unit of the 'Ndrangheta with jurisdiction over criminal activities in an entire town or an area in a large urban center	Wikimedia list article	wikipedia
Locale	locale	the scene of any event or action (especially the place of a meeting)	venue, locale, locus	wordnet
Locale	locale	a place where something happens or is set, or that has particular events associated with it.	NA	owlbot
Locale	locale	Locale is the locale in which custom is running	NA	GenericsKB
Communities served	community	"A community is a social unit with commonality such as norms, religion, values, customs, or identity. Communities may share a sense of place situated in a given geographical area or in virtual space through communication platforms. Durable relations that extend beyond immediate genealogical ties also define a sense of community, important to their identity, practice, and roles in social institutions such as family, home, work, government, society, or humanity at large. Although communities are usually small relative to personal social ties, ""community"" may also refer to large group affiliations such as national communities, international communities, and virtual communities. The English-language word ""community"" derives from the Old French comuneté , which comes from the Latin communitas ""community"", ""public spirit"" . Human communities may share intent, belief, resources, preferences, needs, and risks in common, affecting the identity of the participants and their degree of cohesiveness."	group of interacting living organisms sharing a populated environment; a social unit of human organisms who share common values	wikipedia
Communities served	communities	a district where people live; occupied primarily by private residences	residential_district, residential_area, community	wordnet
Communities served	served	provide (usually but not necessarily food)	serve, serve_up, dish_out, dish_up, dish	wordnet
Communities served	community	Communities are a true level of organization, just like the cell, organism and population	NA	GenericsKB
Start	start	Headway was a five piece British Britpop revival band from Hucknall, Nottinghamshire	NA	wikipedia
Start	start	a line indicating the location of the start of a race or a game	start, starting_line, scratch, scratch_line	wordnet
Start	start	Strategic Arms Reduction Talks.	NA	owlbot
Start	start	Starts are lines	NA	GenericsKB
Via	via	Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington	American multinational coffee company	wikipedia
End	end	Curling is a sport in which players slide stones on a sheet of ice toward a target area which is segmented into four concentric circles	team sport	wikipedia
End	end	either extremity of something that has length	end, terminal	wordnet
End	end	(in bowls and curling) a session of play in one particular direction across the playing area.	NA	owlbot
End	end	An end is an extremity	NA	GenericsKB
Length	length	Length is a measure of distance. In the International System of Quantities, length is a quantity with dimension distance. In most systems of measurement a base unit for length is chosen, from which all other units are derived. In the International System of Units system the base unit for length is the metre. Length is commonly understood to mean the most extended dimension of a fixed object. However, this is not always the case and may depend on the position the object is in. Various terms for the length of a fixed object are used, and these include height, which is vertical length or vertical extent, and width , breadth or depth. Height is used when there is a base from which vertical measurements can be taken. Width or breadth usually refer to a shorter dimension when length is the longest one. Depth is used for the third dimension of a three dimensional object. Length is the measure of one spatial dimension, whereas area is a measure of two dimensions and volume is a measure of three dimensions .	measured dimension of an object in a physical space	wikipedia
Length	length	the linear extent in space from one end to the other; the longest dimension of something that is fixed in place	length	wordnet
Length	length	a piece or stretch of something.	NA	owlbot
Length	length	Length equals meters	NA	GenericsKB
Operates	operate	""" Operate "" is a song written and recorded by Peaches. The song was released as a double limited vinyl A-side with ""Shake Yer Dix"" to promote the release of her second studio album Fatherfucker."	song performed by Peaches	wikipedia
Operates	operates	perform as expected when applied	function, work, operate, go, run	wordnet
Operates	operates	be in effect.	NA	owlbot
Annual patronage	annual	The practice of charity means the voluntary giving of help to those in need, as a humanitarian act	voluntary giving help to those who need it	wikipedia
Annual patronage	patronage	"Patronage is the support, encouragement, privilege, or financial aid that an organization or individual bestows to another. In the history of art, arts patronage refers to the support that kings, popes, and the wealthy have provided to artists such as musicians, painters, and sculptors. It can also refer to the right of bestowing offices or church benefices, the business given to a store by a regular customer, and the guardianship of saints. The word ""patron"" derives from the Latin: patronus , one who gives benefits to his clients . In some countries the term is used to describe political patronage , which is the use of state resources to reward individuals for their electoral support. Some patronage systems are legal, as in the Canadian tradition of the Prime Minister to appoint senators and the heads of a number of commissions and agencies; in many cases, these appointments go to people who have supported the political party of the Prime Minister. As well, the term may refer to a type of corruption or favoritism in which a party in power rewards groups, families, or ethnicities for their electoral support using illegal gifts or fraudulently awarded appointments or government contracts."	support that one organization or individual bestows to another	wikipedia
Annual patronage	annual	a reference book that is published regularly once every year	annual, yearly, yearbook	wordnet
Annual patronage	patronage	(politics) granting favors or giving contracts or making appointments to office in return for political support	patronage	wordnet
Annual patronage	annual	Annuals are also popular, providing the continual bloom that perennials can t always furnish	NA	GenericsKB
Annual patronage	patronage	Patronage is a habit left over from less enlightened days	NA	GenericsKB
Transfers	transfers	A call transfer is a telecommunications mechanism that enables a user to relocate an existing telephone call to another phone or attendant console, using a transfer button or a switchhook flash and dialing the required location	NA	wikipedia
Transfers	transfers	a ticket that allows a passenger to change conveyances	transfer	wordnet
Transfers	transfers	change to another place, route, or means of transport during a journey.	NA	owlbot
Transfers	transfer	A transfer is movement	NA	GenericsKB
