key	keyword	definition	description	source
Former names	name	"A name is a term used for identification. They can identify a class or category of things, or a single thing, either uniquely, or within a given context. The entity identified by a name is called its referent. A personal name identifies, not necessarily uniquely, a specific individual human. The name of a specific entity is sometimes called a proper name and is, when consisting of only one word, a proper noun. Other nouns are sometimes called "" common names "" or "" general names "". A name can be given to a person, place, or thing; for example, parents can give their child a name or a scientist can give an element a name. Caution must be exercised when translating, for there are ways that one language may prefer one type of name over another. For example, the French sometimes refer to Aristotle as ""le Stagirite"" from one spelling of his place of birth, and English speakers often refer to Shakespeare as ""The Bard"", recognizing him as a paragon writer of the language."	word or term used for identification; see also proper noun (Q147276) and personal name (Q1071027)	wikipedia
Former names	names	a person's reputation	name	wordnet
Former names	names	(in the UK) an insurance underwriter belonging to a Lloyd's syndicate.	NA	owlbot
Former names	name	A name is a part	NA	GenericsKB
Motto	motto	A motto is the general motivation or intention of an individual, family, social group or organization. Mottos are usually found predominantly in written form , and may stem from long traditions of social foundations, or from significant events, such as a civil war or a revolution. A motto may be in any language, but Latin has been widely used, especially in the Western world.	short sentence expressing a motivation	wikipedia
Motto	motto	a favorite saying of a sect or political group	motto, slogan, catchword, shibboleth	wordnet
Motto	motto	a short sentence or phrase chosen as encapsulating the beliefs or ideals of an individual, family, or institution.	NA	owlbot
Motto	motto	A motto is expression	NA	GenericsKB
Motto in English	motto	A motto is the general motivation or intention of an individual, family, social group or organization. Mottos are usually found predominantly in written form , and may stem from long traditions of social foundations, or from significant events, such as a civil war or a revolution. A motto may be in any language, but Latin has been widely used, especially in the Western world.	short sentence expressing a motivation	wikipedia
Motto in English	english	The Amish are a group of traditionalist Christian church fellowships with Swiss German Anabaptist origins	group of traditionalist Christian church fellowships	wikipedia
Motto in English	motto	a favorite saying of a sect or political group	motto, slogan, catchword, shibboleth	wordnet
Motto in English	english	(sports) the spin given to a ball by striking it on one side or releasing it with a sharp twist	English, side	wordnet
Motto in English	motto	Mottos are sayings	NA	GenericsKB
Type	type	Categorization is an activity that consists of putting things into categories based on their similarities or common criteria	cognitive process in which ideas and objects are recognized, differentiated, and understood	wikipedia
Type	type	(biology) the taxonomic group whose characteristics are used to define the next higher taxon	type	wordnet
Type	type	a design on either side of a medal or coin.	NA	owlbot
Type	type	A type is a kind	NA	GenericsKB
Established	established	The European Single Market , Internal Market or Common Market is a single market which seeks to guarantee the free movement of goods, capital, services, and labour – the ‘ four freedoms ‘ – within the European Union 	single market of the European Union and participating non-EU countries	wikipedia
Established	established	set up or lay the groundwork for	establish, found, plant, constitute, institute	wordnet
Established	established	set up on a firm or permanent basis.	NA	owlbot
Parent institution	parent	"A parent is a caregiver of the offspring in their own species. In humans, a parent is the caretaker of a child . A biological parent is a person whose gamete resulted in a child, a male through the sperm, and a female through the ovum. Biological parents are first-degree relatives and have 50% genetic meet. A female can also become a parent through surrogacy. Some parents may be adoptive parents, who nurture and raise an offspring, but are not biologically related to the child. Orphans without adoptive parents can be raised by their grandparents or other family members. A parent can also be elaborated as an ancestor removed one generation. With recent medical advances, it is possible to have more than two biological parents. Examples of third biological parents include instances involving surrogacy or a third person who has provided DNA samples during an assisted reproductive procedure that has altered the recipients' genetic material. The most common types of parents are mothers, fathers, step-parents, and grandparents. A mother is, ""a woman in relation to a child or children to whom she has given birth."" The extent to which it is socially acceptable for a parent to be involved in their offspring's life varies from culture to culture, however one that exhibits too little involvement is sometimes said to exhibit child neglect, while one that is too involved is sometimes said to be overprotective, cosseting, nosey, or intrusive."	individual who sired or gave birth to oneself, caregiver of said offspring of their own species	wikipedia
Parent institution	institution	"Institutions , according to Samuel P. Huntington, are ""stable, valued, recurring patterns of behavior"". Further, institutions can refer to mechanisms which govern the behavior of a set of individuals within a given community; moreover, institutions are identified with a social purpose, transcending individuals and intentions by mediating the rules that govern living behavior. According to Geoffrey M. Hodgson, it is misleading to say that an institution is a form of behavior. Instead, Hodgson states that institutions are ""integrated systems of rules that structure social interactions"". The term ""institution"" commonly applies to both informal institutions such as customs, or behavior patterns important to a society, and to particular formal institutions created by entities such as the government and public services. Primary or meta-institutions are institutions such as the family that are broad enough to encompass other institutions. Institutions are a principal object of study in social sciences such as political science, anthropology, economics, and sociology . Institutions are also a central concern for law, the formal mechanism for political rule-making and enforcement."	structure or mechanism of social order and cooperation governing the behaviour of a set of individuals within a given community	wikipedia
Parent institution	parent	an organism (plant or animal) from which younger ones are obtained	parent	wordnet
Parent institution	institution	an establishment consisting of a building or complex of buildings where an organization for the promotion of some cause is situated	institution	wordnet
Parent institution	parent	Parent can mean a single cell or an individual multicellular organism	NA	GenericsKB
Parent institution	institution	Institution is a organization	NA	GenericsKB
Academic affiliations	academic	An academy is an institution of secondary or tertiary, higher learning, research, or honorary membership. Academia is the worldwide group composed of professors and researchers at institutes of higher learning. The name traces back to Plato's school of philosophy, founded approximately 385 BC at Akademia, a sanctuary of Athena, the goddess of wisdom and skill, north of Athens, Greece.	institution of higher learning	wikipedia
Academic affiliations	affiliation	A facility is a collective term for Japanese organizations such as test and research laboratories, inspection and certification institutes, educational and training facilities, medical and rehabilitation facilities, reformatory and internment facilities, and work facilities that are established under the Cabinet Office or other governmental organizations set forth in Article 3, paragraph 2 of the National Government Organization Act	NA	wikipedia
Academic affiliations	academic	marked by a narrow focus on or display of learning especially its trivial aspects	academic, donnish, pedantic	wordnet
Academic affiliations	affiliations	the act of becoming formally connected or joined	affiliation	wordnet
Academic affiliations	academic	Academics are often public intellectuals in the hard sciences and some social sciences	NA	GenericsKB
Academic affiliations	affiliation	Affiliation is association	NA	GenericsKB
Budget	budget	A budget is a financial plan for a defined period, often one year. It may also include planned sales volumes and revenues, resource quantities, costs and expenses, assets, liabilities and cash flows. Companies, governments, families and other organizations use it to express strategic plans of activities or events in measurable terms. A budget is the sum of money allocated for a particular purpose and the summary of intended expenditures along with proposals for how to meet them. It may include a budget surplus, providing money for use at a future time, or a deficit in which expenses exceed income.	balance sheet or statement of estimated receipts and expenditures	wikipedia
Budget	budget	a sum of money allocated for a particular purpose	budget	wordnet
Budget	budget	an estimate of income and expenditure for a set period of time.	NA	owlbot
Budget	budget	Budget is funds	NA	GenericsKB
President	president	Four ships and two shore establishments of the Royal Navy have been named HMS Buzzard after the bird, the buzzard:	Wikimedia disambiguation page	wikipedia
President	president	the head administrative officer of a college or university	president, prexy	wordnet
President	president	the elected head of a republican state.	NA	owlbot
President	president	A president is a business executive	NA	GenericsKB
Provost	provost	New York State Route 22 is a north–south state highway that parallels the eastern border of the U	highway in New York	wikipedia
Provost	provost	a high-ranking university administrator	provost	wordnet
Provost	provost	A provost is an academic administrator	NA	GenericsKB
Academic staff	academic staff	"Academic personnel , also known as faculty member or member of the faculty or academics or academic staff , are the teaching staff of a university: professors of various ranks, lecturers, and/or researchers. The term faculty in this sense is most commonly used in this context in the United States and Canada, and generally includes professors of various ranks: adjunct professors, assistant professors, associate professors, and professors, usually tenured in terms of their contract of employment. In British and Australian/NZ English ""faculty"" usually refers to a sub-division of a university , not to the employees, as it can also do in North America. Law Enforcement instructors at community colleges are important parts of the certificated faculty."	academic staff	wikipedia
Academic staff	academic	marked by a narrow focus on or display of learning especially its trivial aspects	academic, donnish, pedantic	wordnet
Academic staff	staff	the body of teachers and administrators at a school	staff, faculty	wordnet
Academic staff	academic	Academics are often public intellectuals in the hard sciences and some social sciences	NA	GenericsKB
Academic staff	staff	Staff conduct applications	NA	GenericsKB
Administrative staff	administrative	Academic administration is a branch of university or college employees responsible for the maintenance and supervision of the institution and separate from the faculty or academics, although some personnel may have joint responsibilities	branch of university or college employees responsible for the maintenance and supervision of the institution	wikipedia
Administrative staff	staff	Employment is a relationship between two parties, usually based on a contract where work is paid for, where one party, which may be a corporation, for profit, not-for-profit organization, co-operative or other entity is the employer and the other is the employee	relationship between the employee and the employer	wikipedia
Administrative staff	administrative	of or relating to or responsible for administration	administrative	wordnet
Administrative staff	staff	the body of teachers and administrators at a school	staff, faculty	wordnet
Administrative staff	administrative staff	Administrative staff provide quality information technology services	NA	GenericsKB
Students	students	"A student is primarily a person enrolled in a school or other educational institution who attends classes in a course to attain the appropriate level of mastery of a subject under the guidance of an instructor and who devotes time outside class to do whatever activities the instructor assigns that are necessary either for class preparation or to submit evidence of progress towards that mastery. In the broader sense, a student is anyone who applies themselves to the intensive intellectual engagement with some matter necessary to master it as part of some practical affair in which such mastery is basic or decisive. In the United Kingdom and most commonwealth countries, the term ""student"" denotes those enrolled in secondary schools and higher ; those enrolled in primary/elementary schools are called ""pupils""."	learner, or someone who attends an educational institution	wikipedia
Students	students	a learner who is enrolled in an educational institution	student, pupil, educatee	wordnet
Students	students	a person who is studying at a university or other place of higher education.	NA	owlbot
Students	student	A student is a person	NA	GenericsKB
Undergraduates	undergraduates	Undergraduate education is education conducted after secondary education and prior to postgraduate education. It typically includes all postsecondary programs up to the level of a bachelor's degree. For example, in the United States, an entry-level university student is known as an undergraduate, while students of higher degrees are known as graduate students. In some other educational systems, undergraduate education is postsecondary education up to the level of a master's degree; this is the case for some science courses in Britain and some medicine courses in Europe.	academic programs up to the level of a bachelor's degree	wikipedia
Undergraduates	undergraduates	a university student who has not yet received a first degree	undergraduate, undergrad	wordnet
Undergraduates	undergraduates	a university student who has not yet taken a first degree.	NA	owlbot
Postgraduates	postgraduates	Postgraduate education , or graduate education in North America, involves learning and studying for academic or professional degrees, academic or professional certificates, academic or professional diplomas, or other qualifications for which a first or bachelor's degree generally is required, and it is normally considered to be part of higher education. In North America, this level is typically referred to as graduate school . The organization and structure of postgraduate education varies in different countries, as well as in different institutions within countries. This article outlines the basic types of courses and of teaching and examination methods, with some explanation of their history.	studies after the bachelor's degree level	wikipedia
Postgraduates	postgraduates	a student who continues studies after graduation	graduate_student, grad_student, postgraduate	wordnet
Postgraduates	postgraduates	a student engaged in a postgraduate course.	NA	owlbot
Doctoral students	doctoral students	A doctorate or doctor's degree or doctoral degree , is an academic degree awarded by universities, derived from the ancient formalism licentia docendi . In most countries, it is a research degree that qualifies the holder to teach at university level in the degree's field, or to work in a specific profession. There are a number of doctoral degrees; the most common is the Doctor of Philosophy , which is awarded in many different fields, ranging from the humanities to scientific disciplines. In the United States and some other countries, there are also some types of technical or professional degrees that include doctor in their name and are, in some of those countries, classified as doctorates. Professional doctorates historically came about to meet the needs of practitioners in a variety of disciplines. However, the necessity of these degrees may vary greatly across disciplines, making their significance unclear. Many universities also award honorary doctorates to individuals deemed worthy of special recognition, either for scholarly work or for other contributions to the university or to society.	academic or professional degree	wikipedia
Doctoral students	doctoral	of or relating to a doctor or doctorate	doctoral, doctorial	wordnet
Doctoral students	students	a learner who is enrolled in an educational institution	student, pupil, educatee	wordnet
Doctoral students	doctoral	Doctor is a adult	NA	GenericsKB
Doctoral students	student	Student engaged time is the time students spend actively engaged in learning	NA	GenericsKB
Address	address	An address is a collection of information, presented in a mostly fixed format, used to give the location of a building, apartment, or other structure or a plot of land, generally using political boundaries and street names as references, along with other identifiers such as house or apartment numbers and organization name. Some addresses also contain special codes, such as a postal code, to make identification easier and aid in the routing of mail. Addresses provide a means of physically locating a building. They are used in identifying buildings as the end points of a postal system and as parameters in statistics collection, especially in census-taking and the insurance industry. Address formats are different in different places, and unlike latitude and longitude coordinates, there is no simple mapping from an address to a location.	collection of information that describes the location of a building, apartment, or other structure	wikipedia
Address	address	a sign in front of a house or business carrying the conventional form by which its location is described	address	wordnet
Address	address	the particulars of the place where someone lives or an organization is situated.	NA	owlbot
Address	address	Addresses are code	NA	GenericsKB
Campus	campus	A campus is traditionally the land on which a college or university and related institutional buildings are situated. Usually a college campus includes libraries, lecture halls, residence halls, student centers or dining halls, and park-like settings. A modern campus is a collection of buildings and grounds that belong to a given institution, either academic or non-academic. Examples include the Googleplex and the Apple Campus.	land on which a college or university and related institutional buildings are situated	wikipedia
Campus	campus	a field on which the buildings of a university are situated	campus	wordnet
Campus	campus	Campuses are fields	NA	GenericsKB
