key	keyword	definition	description	source
 Type	type	Categorization is an activity that consists of putting things into categories based on their similarities or common criteria	cognitive process in which ideas and objects are recognized, differentiated, and understood	wikipedia
 Type	type	(biology) the taxonomic group whose characteristics are used to define the next higher taxon	type	wordnet
 Type	type	a design on either side of a medal or coin.	NA	owlbot
 Type	type	A type is a kind	NA	GenericsKB
 Governing body	governing body	"A governing body is a group of people that has the authority to exercise governance over an organization or political entity. The most formal is a government, a body whose sole responsibility and authority is to make binding decisions in a given geopolitical system by establishing laws. Other types of governing include an organization , a socio-political group , or another, informal group of people. In business and outsourcing relationships, governance frameworks are built into relational contracts that foster long-term collaboration and innovation. A board of governors is often the governing body of a public institution, while a board of directors typically serves as the governing body of a corporation or other company larger or more complex than a partnership. Many professional sports have a sports governing body that serves as their regulating authority. Governing bodies can vary widely in size, which is ""important not only for acquiring the necessary range of skills to oversee the entity, but also in promoting cohesion, flexibility, and effective participation of the members to achieve their governance objectives"". A governing body is only one component of a system of governance, which also requires a written framework under which the body must operate, and governance mechanisms to both carry out directives of the governing body, and to report information back to the governing body."	group of people that has the authority to exercise governance over an organization or political entity	wikipedia
 Governing body	governing	responsible for making and enforcing rules and laws	governing	wordnet
 Governing body	body	a collection of particulars considered as a system	body	wordnet
 Governing body	governing body	a group of people who formulate the policy and direct the affairs of an institution in partnership with the managers, especially on a voluntary or part-time basis.	NA	owlbot
 Governing body	body	A body is a natural object	NA	GenericsKB
 Leadership	leadership	"Leadership is both a research area and a practical skill encompassing the ability of an individual or organization to ""lead"" or guide other individuals, teams, or entire organizations. Specialist literature debates various viewpoints, contrasting Eastern and Western approaches to leadership, and also United States versus European approaches. U.S. academic environments define leadership as ""a process of social influence in which a person can enlist the aid and support of others in the accomplishment of a common task"". Studies of leadership have produced theories involving traits, situational interaction, function, behavior, power, vision and values, charisma, and intelligence, among others."	ability of an individual or organization to guide other individuals, teams, or entire organizations	wikipedia
 Leadership	leadership	the status of a leader	leadership	wordnet
 Leadership	leadership	the action of leading a group of people or an organization, or the ability to do this.	NA	owlbot
 Leadership	leadership	Leadership also means making unpopular decisions that have a long term goal in mind	NA	GenericsKB
 Executive	executive	The executive is the branch of government exercising authority in and holding responsibility for the governance of a state	part of government that has sole authority and responsibility for the daily administration of the state	wikipedia
 Executive	executive	persons who administer the law	executive	wordnet
 Executive	executive	the branch of a government responsible for putting decisions or laws into effect.	NA	owlbot
 Executive	executive	An executive is an administrator	NA	GenericsKB
 MPs	mps	MP , Mp , mp or 	Wikimedia disambiguation page	wikipedia
 MPs	mps	a member of the military police who polices soldiers and guards prisoners	military_policeman, MP	wordnet
