key	keyword	definition	description	source
Official languages	official languages	"An official language , also called state language , is a language given a special status in a particular country, state, or other jurisdiction. Typically a country's official language refers to the language used in government . The term ""official language"" does not typically refer to the language used by a people or country, but by its government, as ""the means of expression of a people cannot be changed by any law"". 178 countries of the world recognize an official language, 101 of them recognizing more than one. The government of Italy officialised Italian only in 1999, and some nations have never declared official languages at the national level. Other nations have declared non- indigenous official languages. ""The Philippines and parts of Africa live with a peculiar cultural paradox. Although the official languages may be French or English, these are not the languages most widely spoken by residents."" Many of the world's constitutions mention one or more official or national languages. Some countries use the official language designation to empower indigenous groups by giving them access to the government in their native languages. In countries that do not formally designate an official language, a de facto national language usually evolves. English is the most common official language, with recognized status in 51 countries. Arabic, French, and Spanish are also widely recognized. ° An official language that is also an indigenous language is called endoglossic , one that is not indigenous is exoglossic. An instance is Nigeria which has three endoglossic official languages. By this the country aims to protect the indigenous languages although at the same time recognising the English language as its lingua franca."	language given special status in some polity	wikipedia
Official languages	official	of or relating to an office	official	wordnet
Official languages	languages	a systematic means of communicating by the use of sounds or conventional symbols	language, linguistic_communication	wordnet
Official languages	official	Officials are employees of the civil service and are legally responsible to the minister	NA	GenericsKB
Official languages	language	Language aids people in adjusting along with their culture as it changes	NA	GenericsKB
Regional language	regional language	"A regional language is a language spoken in an area of a sovereign state, whether it be a small area, a federated state or province or some wider area. Internationally, for the purposes of the European Charter for Regional or Minority Languages, "" regional or minority languages "" means languages that are: 1. traditionally used within a given territory of a State by nationals of that State who form a group numerically smaller than the rest of the State's population and 2. different from the official language of that State Recognition of regional or minority languages must not be confused with recognition as an official language."	language spoken in an area of a sovereign state	wikipedia
Regional language	regional	characteristic of a region	regional	wordnet
Regional language	language	the mental faculty or power of vocal communication	language, speech	wordnet
Regional language	regional	Region is the cradle of modern civilization	NA	GenericsKB
Regional language	language	Language affects human structure, the depth of our breathing, and the tension level of muscles	NA	GenericsKB
Official scripts	official script	An official script is a writing system that is specifically designated to be official in the constitutions or other applicable laws of countries, states, and other jurisdictions. Akin to an official language, an official script is much rarer. It is used primarily where an official language is in practice written with two or more scripts. As, in these languages, use of script often has cultural or political connotations, proclamation of an official script is sometimes criticised as having a goal of influencing culture or politics or both. Desired effects also may include easing education, communication and some other aspects of life.	writing system that is specifically designated to be official in some jurisdiction by law	wikipedia
Official scripts	official	of or relating to an office	official	wordnet
Official scripts	scripts	a particular orthography or writing system	script	wordnet
Official scripts	official	Officials are employees of the civil service and are legally responsible to the minister	NA	GenericsKB
Official scripts	script	Script means any type which is designed to resemble handwriting	NA	GenericsKB
Ethnic groups (2016)	ethnic groups	An ethnic group or ethnicity is a category of people who identify with each other, usually on the basis of presumed similarities such as a common language, ancestry, history, society, culture, nation or social treatment within their residing area. Ethnicity is often used synonymously with the term nation, particularly in cases of ethnic nationalism, and is separate from but related to the concept of races. Ethnicity is usually an inherited status based on the society in which one lives. Membership of an ethnic group tends to be defined by a shared cultural heritage, ancestry, origin myth, history, homeland, language or dialect, symbolic systems such as religion, mythology and ritual, cuisine, dressing style, art or physical appearance. Ethnic groups often continue to speak related languages and share a similar gene pool. By way of language shift, acculturation, adoption and religious conversion, it is sometimes possible for individuals or groups to leave one ethnic group and become part of another. The social construct that ethnic groups share a similar gene pool has been contradicted within the scientific community as evidenced by data finding more genetic variation within ethnic groups compared to between ethnic groups. The largest ethnic groups in modern times comprise more than one billion individuals each , while the smallest are limited to a few dozen individuals . Ethnic groups may be subdivided into subgroups or tribes, which over time may become separate ethnic groups themselves due to endogamy or physical isolation from the parent group. Conversely, formerly separate ethnicities can merge to form a pan-ethnicity and may eventually merge into one single ethnicity. Whether through division or amalgamation, the formation of a separate ethnic identity is referred to as ethnogenesis.	socially defined category of people who identify with each other	wikipedia
Ethnic groups (2016)	ethnic	denoting or deriving from or distinctive of the ways of living built up by a group of people; - J.F.Kennedy	cultural, ethnic, ethnical	wordnet
Ethnic groups (2016)	groups	any number of entities (members) considered as a unit	group, grouping	wordnet
Ethnic groups (2016)	group	Group housewares to contrast colors, shapes, and sizes	NA	GenericsKB
