key	keyword	definition	description	source
Native name	native	 Indigenous peoples, ethnic groups who are the original or earliest known inhabitants of an area 	Wikimedia disambiguation page	wikipedia
Native name	native	belonging to one by birth	native	wordnet
Native name	native	associated with the place or circumstances of a person's birth.	NA	owlbot
Native name	native	A native is a person	NA	GenericsKB
Romanized name	romanized name	Romanization or romanisation , in linguistics, is the conversion of writing from a different writing system to the Roman script, or a system for doing so. Methods of romanization include transliteration, for representing written text, and transcription, for representing the spoken word, and combinations of both. Transcription methods can be subdivided into phonemic transcription , which records the phonemes or units of semantic meaning in speech, and more strict phonetic transcription , which records speech sounds with precision.	transliteration of characters in a writing system to Latin character system	wikipedia
Romanized name	romanized	write in the Latin alphabet	Romanize, Romanise, Latinize, Latinise	wordnet
Romanized name	romanize	Roman is a symbol	NA	GenericsKB
Type	type	Character may refer to:	Wikimedia disambiguation page	wikipedia
Type	type	a person of a specified kind (usually with many eccentricities)	character, eccentric, type, case	wordnet
Type	type	write (something) on a typewriter or computer by pressing the keys.	NA	owlbot
Type	type	Type is a creation of both art and science	NA	GenericsKB
Industry	industry	An industry is a sector that produces goods or related services within an economy. The major source of revenue of a group or company is an indicator of what industry it should be classified in. When a large corporate group has multiple sources of revenue generation, it is considered to be working in different industries. The manufacturing industry became a key sector of production and labour in European and North American countries during the Industrial Revolution, upsetting previous mercantile and feudal economies. This came through many successive rapid advances in technology, such as the development of steam power and the production of steel and coal. Following the Industrial Revolution, possibly a third of the economic output came from manufacturing industries. Many developed countries and many developing/semi-developed countries depend significantly on manufacturing industry.	production of goods or service of a given field within an economy	wikipedia
Industry	industry	the people or companies engaged in a particular kind of commercial enterprise	industry	wordnet
Industry	industry	hard work.	NA	owlbot
Industry	industry	Industries add jobs	NA	GenericsKB
