key	keyword	definition	description	source
Status	status	A city is a large human settlement	large permanent human settlement	wikipedia
Status	status	the relative position or standing of things or especially persons in a society	status, position	wordnet
Status	status	relative social or professional position; standing.	NA	owlbot
Status	status	Status affects metabolism	NA	GenericsKB
Capital	capital	Paytakht is a popular Iranian TV series portraying the life a Mazandarani family	Iranian TV comedy series	wikipedia
Capital	capital	a center that is associated more than any other with some activity or product	capital	wordnet
Capital	capital	the city or town that functions as the seat of government and administrative centre of a country or region.	NA	owlbot
Capital	capital	Capital also means wealth	NA	GenericsKB
Common languages	common language	A lingua franca ; lit. 'Frankish tongue'; for plurals see § Usage notes), also known as a bridge language , common language , trade language , auxiliary language , vehicular language , or link language , is a language or dialect systematically used to make communication possible between groups of people who do not share a native language or dialect, particularly when it is a third language that is distinct from both of the speakers' native languages. Lingua francas have developed around the world throughout human history, sometimes for commercial reasons , but also for cultural, religious, diplomatic and administrative convenience, and as a means of exchanging information between scientists and other scholars of different nationalities. The term is taken from the medieval Mediterranean Lingua Franca, a Romance-based pidgin language used as a lingua franca in the Mediterranean Basin from the 11th to the 19th century. A world language – a language spoken internationally and by many people – is a language that may function as a global lingua franca. *: literal translation	languages used to facilitate trade between groups without a common native language	wikipedia
Common languages	common	commonly encountered	common, usual	wordnet
Common languages	languages	the cognitive processes involved in producing and understanding linguistic communication	linguistic_process, language	wordnet
Common languages	common	Commons has media related to Animal camouflage	NA	GenericsKB
Common languages	language	Language aids people in adjusting as their culture changes	NA	GenericsKB
Government	government	A government is the system or group of people governing an organized community, often a state, but also other entities like for example companies, especially in the case of colonial companies. In the case of its broad associative definition, government normally consists of legislature, executive, and judiciary. Government is a means by which organizational policies are enforced, as well as a mechanism for determining policy. Each government has a kind of constitution, a statement of its governing principles and philosophy. Typically the philosophy chosen is some balance between the principle of individual freedom and the idea of absolute state authority . While all types of organizations have governance, the term government is often used more specifically, to refer to the approximately 200 independent national governments and subsidiary organizations globally. Historically prevalent forms of government include monarchy, aristocracy, timocracy, oligarchy, democracy, theocracy and tyranny. The main aspect of any philosophy of government is how political power is obtained, with the two main forms being electoral contest and hereditary succession. Libertarianism and anarchism are political ideologies that seek to limit or abolish government, finding government disruptive to self organization and freedom.	system or group of people governing an organized community, often a state	wikipedia
Government	government	the study of government of states and other political units	politics, political_science, government	wordnet
Government	government	the group of people with the authority to govern a country or state; a particular ministry in office.	NA	owlbot
Government	government	Government also carries an enormous load of social responsibility	NA	GenericsKB
First Secretary	first secretary	A first minister is one of a variety of terms for the leader of a government cabinet, which is a term currently used to refer to the political leader of a devolved national government, such as the devolved administrations of Scotland, Wales, and Northern Ireland, or of a dependent territory	Wikimedia disambiguation page	wikipedia
First Secretary	secretary	a person who is head of an administrative department of government	secretary	wordnet
First Secretary	secretary	a person employed by an individual or in an office to assist with correspondence, make appointments, and carry out administrative tasks.	NA	owlbot
First Secretary	secretary	A secretary is a head	NA	GenericsKB
Head of state	head of state	A head of state is the public persona who officially embodies a state in its unity and legitimacy. Depending on the country's form of government and separation of powers, the head of state may be a ceremonial figurehead or concurrently the head of government and more. In a parliamentary system, such as India and Pakistan, the head of state usually has mostly ceremonial powers, with a separate head of government. However in some parliamentary systems, like South Africa, there is an executive president that is both head of state and head of government. Likewise, in some parliamentary systems the head of state is not the head of government, but still has significant powers, for example Morocco. In contrast, a semi-presidential system, such as France, has both heads of state and government as the de facto leaders of the nation . Meanwhile, in presidential systems such as the United States, the head of state is also the head of government. Former French president Charles de Gaulle, while developing the current Constitution of France , said that the head of state should embody l'esprit de la nation .	official who holds the highest-ranked executive position in a sovereign state	wikipedia
Head of state	head	a person who is in charge	head, chief, top_dog	wordnet
Head of state	state	a politically organized body of people under a single government	state, nation, country, land, commonwealth, res_publica, body_politic	wordnet
Head of state	head of state	Heads of state are leaders	NA	GenericsKB
Head of government	head of government	"The head of government is either the highest or second highest official in the executive branch of a sovereign state, a federated state, or a self- governing colony, autonomous region, or other government who often presides over a cabinet, a group of ministers or secretaries who lead executive departments. ""Head of government"" is often differentiated from ""head of state"" , as they may be separate positions, individuals, or roles depending on the country. The authority of a head of government, such as a president, chancellor, or prime minister and the relationship between that position and other state institutions, such as the relation between the head of state and of the legislature, varies greatly among sovereign states, depending largely on the particular system of the government that has been chosen, won, or evolved over time. In most parliamentary systems, including constitutional monarchies, the head of government is the de facto political leader of the government, and is answerable to at least one chamber of the legislature. Although there is often a formal reporting relationship to a head of state, the latter usually acts as a figurehead who may take the role of chief executive on limited occasions, either when receiving constitutional advice from the head of government or under specific provisions in a constitution. In presidential republics or in absolute monarchies, the head of state is also usually the head of government. The relationship between that leader and the government, however, can vary greatly, ranging from separation of powers to autocracy, according to the constitution of the particular state. In semi-presidential systems, the head of government may answer to both the head of state and the legislature, with the specifics provided by each country's constitution. A modern example is the present French government, which originated as the French Fifth Republic in 1958. In France, the president, the head of state, appoints the prime minister, who is the head of government. However, the president must choose someone who can act effectively as an executive, but who also enjoys the support of the France's legislature, the National Assembly, to be able to pass legislation. In some cases, the head of state may represent one political party but the majority in the National Assembly is of a different party. Given that the majority party has greater control over state funding and primary legislation, the president is in effect forced to choose a prime minister from the opposition party to ensure an effective, functioning legislature. In this case, known as cohabitation, the prime minister, along with the cabinet, controls domestic policy, with the president's influence largely restricted to foreign affairs. In directorial systems, the executive responsibilities of the head of government are spread among a group of people. A prominent example is the Swiss Federal Council, where each member of the council heads a department and also votes on proposals relating to all departments."	chief officer of the executive branch of a government	wikipedia
Head of government	head	a person who is in charge	head, chief, top_dog	wordnet
Head of government	government	the study of government of states and other political units	politics, political_science, government	wordnet
Head of government	head	Heads are body parts	NA	GenericsKB
Head of government	government	Government acts through universal prescriptions, laws that apply to everyone	NA	GenericsKB
Legislature	legislature	A legislature is a deliberative assembly with the authority to make laws for a political entity such as a country or city. Legislatures form important parts of most governments; in the separation of powers model, they are often contrasted with the executive and judicial branches of government. Laws enacted by legislatures are usually known as primary legislation. In addition, legislatures may observe and steer governing actions, with authority to amend the budget involved. The members of a legislature are called legislators. In a democracy, legislators are most commonly popularly elected, although indirect election and appointment by the executive are also used, particularly for bicameral legislatures featuring an upper chamber.	kind of deliberative assembly with the power to pass, amend, and repeal laws	wikipedia
Legislature	legislature	persons who make or amend or repeal laws	legislature, legislative_assembly, legislative_body, general_assembly, law-makers	wordnet
Legislature	legislature	the legislative body of a country or state.	NA	owlbot
Legislature	legislature	A legislature is an assembly	NA	GenericsKB
Historical era	historical era	This history by period summarizes significant eras in the history of the world, from the ancient world to the present day.		wikipedia
Historical era	historical	having once lived or existed or taken place in the real world as distinct from being legendary	historical	wordnet
Historical era	era	a period marked by distinctive character or reckoned from a fixed point or event	era, epoch	wordnet
Historical era	era	Eras are bands	NA	GenericsKB
Republic declared	republic	"A republic is a form of government in which the country is considered a ""public matter"", not the private concern or property of the rulers. The primary positions of power within a republic are attained, through democracy, oligarchy, or a mix thereof, rather than being unalterably occupied. It has become the opposing form of government to a monarchy and has therefore no monarch as head of state. As of 2017, 159 of the world's 206 sovereign states use the word ""republic"" as part of their official names – not all of these are republics in the sense of having elected governments, nor is the word ""republic"" used in the names of all nations with elected governments. The word republic comes from the Latin term res publica , which literally means ""public thing"", ""public matter"", or ""public affair"" and was used to refer to the state as a whole. The term developed its modern meaning in reference to the constitution of the ancient Roman Republic, lasting from the overthrow of the kings in 509 BC to the establishment of the Empire in 27 BC. This constitution was characterized by a Senate composed of wealthy aristocrats and wielding significant influence; several popular assemblies of all free citizens, possessing the power to elect magistrates and pass laws; and a series of magistracies with varying types of civil and political authority. Most often a republic is a single sovereign state, but there are also sub- sovereign state entities that are referred to as republics, or that have governments that are described as ""republican"" in nature. For instance, Article IV of the United States Constitution ""guarantee to every State in this Union a Republican form of Government"". Another example is the Soviet Union which described itself as being a group of ""Soviet Socialist Republics"", in reference to the 15 individually federal, multinational, top-level subdivisions or republics. In the context of American constitutional law, the definition of republic refers specifically to a form of government in which elected individuals represent the citizen body and exercise power according to the rule of law under a constitution, including separation of powers with an elected head of state, referred to as a constitutional republic or representative democracy."	form of government where the head of state is elected	wikipedia
Republic declared	declare	Declare is a supernatural spy novel by American author Tim Powers. The novel presents a secret history of the Cold War, and earned several major fantasy fiction awards.	book by Tim Powers	wikipedia
Republic declared	republic	a form of government whose head of state is not a monarch	republic	wordnet
Republic declared	declared	state firmly	declare	wordnet
Republic declared	republic	Republics are political parties	NA	GenericsKB
Soviet republic proclaimed	soviet	"Soviet people or citizens of the USSR was an umbrella demonym for the population of the Soviet Union. Initially used as a nonspecific reference to the Soviet population, it was eventually declared to be a ""new historical, social and international unity of people""."	demonym	wikipedia
Soviet republic proclaimed	republic	"A republic is a form of government in which the country is considered a ""public matter"", not the private concern or property of the rulers. The primary positions of power within a republic are attained, through democracy, oligarchy, or a mix thereof, rather than being unalterably occupied. It has become the opposing form of government to a monarchy and has therefore no monarch as head of state. As of 2017, 159 of the world's 206 sovereign states use the word ""republic"" as part of their official names – not all of these are republics in the sense of having elected governments, nor is the word ""republic"" used in the names of all nations with elected governments. The word republic comes from the Latin term res publica , which literally means ""public thing"", ""public matter"", or ""public affair"" and was used to refer to the state as a whole. The term developed its modern meaning in reference to the constitution of the ancient Roman Republic, lasting from the overthrow of the kings in 509 BC to the establishment of the Empire in 27 BC. This constitution was characterized by a Senate composed of wealthy aristocrats and wielding significant influence; several popular assemblies of all free citizens, possessing the power to elect magistrates and pass laws; and a series of magistracies with varying types of civil and political authority. Most often a republic is a single sovereign state, but there are also sub- sovereign state entities that are referred to as republics, or that have governments that are described as ""republican"" in nature. For instance, Article IV of the United States Constitution ""guarantee to every State in this Union a Republican form of Government"". Another example is the Soviet Union which described itself as being a group of ""Soviet Socialist Republics"", in reference to the 15 individually federal, multinational, top-level subdivisions or republics. In the context of American constitutional law, the definition of republic refers specifically to a form of government in which elected individuals represent the citizen body and exercise power according to the rule of law under a constitution, including separation of powers with an elected head of state, referred to as a constitutional republic or representative democracy."	form of government where the head of state is elected	wikipedia
Soviet republic proclaimed	soviet	an elected governmental council in a communist country (especially one that is a member of the Union of Soviet Socialist Republics)	soviet	wordnet
Soviet republic proclaimed	republic	a form of government whose head of state is not a monarch	republic	wordnet
Soviet republic proclaimed	proclaimed	state or announce	proclaim, exclaim, promulgate	wordnet
Soviet republic proclaimed	soviet	Soviets are people	NA	GenericsKB
Soviet republic proclaimed	republic	Republic is a social group	NA	GenericsKB
Admitted to Soviet Union	soviet	"Soviet people or citizens of the USSR was an umbrella demonym for the population of the Soviet Union. Initially used as a nonspecific reference to the Soviet population, it was eventually declared to be a ""new historical, social and international unity of people""."	demonym	wikipedia
Admitted to Soviet Union	union	The Cyrillic script is a writing system used for various languages across Eurasia and is used as the national script in various Slavic, Turkic, Mongolic and Iranic-speaking countries in Eastern Europe, the Caucasus, Central Asia and Northern Asia	alphabetic writing system	wikipedia
Admitted to Soviet Union	admitted	allow to enter; grant entry to	admit, allow_in, let_in, intromit	wordnet
Admitted to Soviet Union	soviet	an elected governmental council in a communist country (especially one that is a member of the Union of Soviet Socialist Republics)	soviet	wordnet
Admitted to Soviet Union	union	healing process involving the growing together of the edges of a wound or the growing together of broken bones	union, conglutination	wordnet
Admitted to Soviet Union	soviet	Soviets are states	NA	GenericsKB
Admitted to Soviet Union	union	Unions are a modern concept, a product of industrial society	NA	GenericsKB
Annexation of Western Belarus	annexation	Annexation is the administrative action and concept in international law relating to the forcible acquisition of one state's territory by another state and is generally held to be an illegal act. It is distinct from conquest, which refers to the acquisition of control over a territory involving a change of sovereignty, and differs from cession, in which territory is given or sold through treaty, since annexation is a unilateral act where territory is seized and held by one state. It usually follows military occupation of a territory. Annexation can be legitimized via general recognition by international bodies .	acquisition of a state's territory by another state	wikipedia
Annexation of Western Belarus	western	The Western Hotel and Casino was a hotel and casino in downtown Las Vegas, Nevada	former hotel and casino in Las Vegas, Nevada	wikipedia
Annexation of Western Belarus	belarus	"Belarus ), officially the Republic of Belarus , formerly known by its Russian name Byelorussia or Belorussia , is a landlocked country in Eastern Europe. It is bordered by Russia to the northeast, Ukraine to the south, Poland to the west, and Lithuania and Latvia to the northwest. Its capital and most populous city is Minsk. Over 40% of its 207,600 square kilometres is forested. Its major economic sectors are service industries and manufacturing. Until the 20th century, different states at various times controlled the lands of modern-day Belarus, including the Principality of Polotsk , the Grand Duchy of Lithuania, the Polish–Lithuanian Commonwealth, and the Russian Empire. In the aftermath of the 1917 Russian Revolution, different states arose competing for legitimacy amidst the Civil War, ultimately ending in the rise of the Byelorussian Soviet Socialist Republic which became a founding constituent republic of the Soviet Union in 1922. Belarus lost almost half of its territory to Poland after the Polish–Soviet War . Much of the borders of Belarus took their modern shape in 1939, when some lands of the Second Polish Republic were reintegrated into it after the Soviet invasion of Poland, and were finalized after World War II. During WWII, military operations devastated Belarus, which lost about a quarter of its population and half of its economic resources. The republic was redeveloped in the post-war years. In 1945 the Byelorussian SSR became a founding member of the United Nations, along with the Soviet Union and the Ukrainian SSR. The parliament of the republic proclaimed the sovereignty of Belarus on 27 July 1990, and during the dissolution of the Soviet Union, Belarus declared independence on 25 August 1991\. In 2000, Belarus and Russia signed a treaty for greater cooperation, forming the Union State. Alexander Lukashenko has served as the country's first president since 1994. Belarus has been labeled ""Europe's last dictatorship"" by some Western journalists, on account of Lukashenko's self-described authoritarian style of government. Lukashenko continued a number of Soviet-era policies, such as state ownership of large sections of the economy. Elections under Lukashenko's rule have been widely criticized as unfair; and according to many countries and organizations, political opposition has been violently suppressed. Belarus is also the only country in Europe officially using the death penalty. Belarus's Democracy Index rating is the lowest in Europe, the country is labelled as ""not free"" by Freedom House, as ""repressed"" in the Index of Economic Freedom, and is rated as the worst country for press freedom in Europe in the 2013–14 Press Freedom Index published by Reporters Without Borders, which ranks Belarus 157th out of 180 nations. Over 70% of Belarus's population of 9.49 million resides in urban areas. More than 80% of the population is ethnic Belarusian, with sizable minorities of Russians, Poles and Ukrainians. Since a referendum in 1995, the country has had two official languages: Belarusian and Russian. The Constitution of Belarus does not declare any official religion, although the primary religion in the country is Eastern Orthodox Christianity. The second-most widespread religion, Roman Catholicism, has a much smaller following; nevertheless, Belarus celebrates both Orthodox and Catholic versions of Christmas and Easter as national holidays. Belarus is a member of the United Nations since its founding, the Commonwealth of Independent States, CSTO, EEU, and the Non- Aligned Movement. Belarus has shown no aspirations for joining the European Union but nevertheless maintains a bilateral relationship with the Union, and likewise participates in two EU projects: the Eastern Partnership and the Baku Initiative."	sovereign state in Eastern Europe	wikipedia
Annexation of Western Belarus	annexation	the formal act of acquiring something (especially territory) by conquest or occupation	annexation	wordnet
Annexation of Western Belarus	western	of wind; from the west	westerly, western	wordnet
Annexation of Western Belarus	belarus	a landlocked republic in eastern Europe; formerly a European soviet	Belarus, Republic_of_Belarus, Byelarus, Byelorussia, Belorussia, White_Russia	wordnet
Annexation of Western Belarus	annexation	Annexation means keeping an alien people by force within the bounds of a given state	NA	GenericsKB
Annexation of Western Belarus	western	Westerns are popular movies partly because frontier life was still pre-law	NA	GenericsKB
Annexation of Western Belarus	belarus	Belarus is a thing	NA	GenericsKB
UN membership	un	Transaero , officially OJSC Transaero Airlines was a Russian airline	airline based in Russia	wikipedia
UN membership	membership	In religious organizations, the laity consists of all members who are not part of the clergy, usually including any non-ordained members of religious institutes, e	all members who are not a part of the clergy	wikipedia
UN membership	un	an organization of independent states formed in 1945 to promote international peace and security	United_Nations, UN	wordnet
UN membership	membership	the state of being a member	membership	wordnet
UN membership	membership	A membership is a body	NA	GenericsKB
Sovereignty declared	sovereignty	Sovereignty is the full right and power of a governing body over itself, without any interference from outside sources or bodies. In political theory, sovereignty is a substantive term designating supreme legitimate authority over some polity. In international law, sovereignty is the exercise of power by a state. De jure sovereignty refers to the legal right to do so; de facto sovereignty refers to the factual ability to do so. This can become an issue of special concern upon the failure of the usual expectation that de jure and de facto sovereignty exist at the place and time of concern, and reside within the same organization.	concept that a state or governing body has the right and power to govern itself without outside interference	wikipedia
Sovereignty declared	declare	Declare is a supernatural spy novel by American author Tim Powers. The novel presents a secret history of the Cold War, and earned several major fantasy fiction awards.	book by Tim Powers	wikipedia
Sovereignty declared	sovereignty	government free from external control	sovereignty	wordnet
Sovereignty declared	declared	state firmly	declare	wordnet
Sovereignty declared	sovereignty	Sovereignty also serves to justify restrictive immigration policies in nations in the world system	NA	GenericsKB
