key	keyword	definition	description	source
Founded	founded	In engineering, a foundation is the element of a structure which connects it to the ground, and transfers loads from the structure to the ground	lowest and supporting layer of a structure	wikipedia
Founded	founded	use as a basis for; found on	establish, base, ground, found	wordnet
Founded	founded	establish or originate (an institution or organization).	NA	owlbot
Founded	found	Founds are wages	NA	GenericsKB
Editions	editions	The bibliographical definition of an edition includes all copies of a book printed “from substantially the same setting of type,” including all minor typographical variants	specific version of a work, resulting from its edition, adaptation, or translation; set of substantially similar copies of a work	wikipedia
Editions	editions	the form in which a text (especially a printed book) is published	edition	wordnet
Editions	editions	the total number of copies of a book, newspaper, or other published material issued at one time.	NA	owlbot
Editions	edition	Editions are groups	NA	GenericsKB
Location	location	In geography, location and place are used to denote a point or an area on the Earth's surface or elsewhere. The term location generally implies a higher degree of certainty than place , the latter often indicating an entity with an ambiguous boundary, relying more on human or social attributes of place identity and sense of place than on geometry.	point or an area on the Earth's surface or elsewhere	wikipedia
Location	location	the act of putting something in a certain place	placement, location, locating, position, positioning, emplacement	wordnet
Location	location	a particular place or position.	NA	owlbot
Location	location	Location has a significant impact on crime in India 	NA	GenericsKB
Venue	venue	A theater , theatre or playhouse , is a structure where theatrical works or plays are performed, or other performances such as musical concerts may be produced	performing arts venue (building)	wikipedia
Venue	venue	in law: the jurisdiction where a trial will be held	venue	wordnet
Venue	venue	the place where something happens, especially an organized event such as a concert, conference, or sports competition.	NA	owlbot
Venue	venue	Venues are jurisdiction	NA	GenericsKB
