key	keyword	definition	description	source
Aphelion	aphelion	"Apsis denotes either of the two extreme points in the orbit of a planetary body about its primary body . The plural term, ""apsides,"" usually implies both apsis points ; apsides can also refer to the distance of the extreme range of an object orbiting a host body. For example, the apsides of Earth's orbit of the Sun are two: the apsis for Earth's farthest point from the Sun, dubbed the aphelion; and the apsis for Earth's nearest point, the perihelion . . There are two apsides in any elliptic orbit. Each is named by selecting the appropriate prefix : ap- , apo- , -) , meaning 'away from'), or peri- , meaning 'near')—then joining it to the reference suffix of the ""host"" body being orbited. .) According to Newton's laws of motion all periodic orbits are ellipses, including: 1) the single orbital ellipse, where the primary body is fixed at one focus point and the planetary body orbits around that focus ; and 2) the two-body system of interacting elliptic orbits: both bodies orbit their joint center of mass , which is located at a focus point that is common to both ellipses, . For such a two-body system, when one mass is sufficiently larger than the other, the smaller ellipse around the barycenter comprises one of the orbital elements of the larger ellipse . The barycenter of the two bodies may lie well within the bigger body—e.g., the Earth–Moon barycenter is about 75% of the way from Earth's center to its surface. If, compared to the larger mass, the smaller mass is negligible , then the orbital parameters are independent of the smaller mass. When used as a suffix—that is, -apsis —the term can refer to the two distances from the primary body to the orbiting body when the latter is located: 1) at the periapsis point, or 2) at the apoapsis point . The line of apsides denotes the distance of the line that joins the nearest and farthest points across an orbit; it also refers simply to the extreme range of an object orbiting a host body . In orbital mechanics, the apsides technically refer to the distance measured between the barycenters of the central body and orbiting body. However, in the case of a spacecraft, the terms are commonly used to refer to the orbital altitude of the spacecraft above the surface of the central body ."	extreme point in an object's orbit	wikipedia
Aphelion	aphelion	apoapsis in solar orbit; the point in the orbit of a planet or comet that is at the greatest distance from the sun	aphelion	wordnet
Aphelion	aphelion	the point in the orbit of a planet, asteroid, or comet at which it is furthest from the sun.	NA	owlbot
Aphelion	aphelion	Aphelion is the farthest point from the sun in an orbit	NA	GenericsKB
Perihelion	perihelion	"Apsis denotes either of the two extreme points in the orbit of a planetary body about its primary body . The plural term, ""apsides,"" usually implies both apsis points ; apsides can also refer to the distance of the extreme range of an object orbiting a host body. For example, the apsides of Earth's orbit of the Sun are two: the apsis for Earth's farthest point from the Sun, dubbed the aphelion; and the apsis for Earth's nearest point, the perihelion . . There are two apsides in any elliptic orbit. Each is named by selecting the appropriate prefix : ap- , apo- , -) , meaning 'away from'), or peri- , meaning 'near')—then joining it to the reference suffix of the ""host"" body being orbited. .) According to Newton's laws of motion all periodic orbits are ellipses, including: 1) the single orbital ellipse, where the primary body is fixed at one focus point and the planetary body orbits around that focus ; and 2) the two-body system of interacting elliptic orbits: both bodies orbit their joint center of mass , which is located at a focus point that is common to both ellipses, . For such a two-body system, when one mass is sufficiently larger than the other, the smaller ellipse around the barycenter comprises one of the orbital elements of the larger ellipse . The barycenter of the two bodies may lie well within the bigger body—e.g., the Earth–Moon barycenter is about 75% of the way from Earth's center to its surface. If, compared to the larger mass, the smaller mass is negligible , then the orbital parameters are independent of the smaller mass. When used as a suffix—that is, -apsis —the term can refer to the two distances from the primary body to the orbiting body when the latter is located: 1) at the periapsis point, or 2) at the apoapsis point . The line of apsides denotes the distance of the line that joins the nearest and farthest points across an orbit; it also refers simply to the extreme range of an object orbiting a host body . In orbital mechanics, the apsides technically refer to the distance measured between the barycenters of the central body and orbiting body. However, in the case of a spacecraft, the terms are commonly used to refer to the orbital altitude of the spacecraft above the surface of the central body ."	extreme point in an object's orbit	wikipedia
Perihelion	perihelion	periapsis in solar orbit; the point in the orbit of a planet or comet where it is nearest to the sun	perihelion	wordnet
Perihelion	perihelion	the point in the orbit of a planet, asteroid, or comet at which it is closest to the sun.	NA	owlbot
Perihelion	perihelion	Perihelion is the point in the earth's orbit when it is closest in proximity to the sun	NA	GenericsKB
Semi-major axis	major	Major is a military rank of commissioned officer status, with corresponding ranks existing in many military forces throughout the world.	military rank	wikipedia
Semi-major axis	axis	Standard anatomical terms of location deal unambiguously with the anatomy of animals, including humans	Standard terms for unambiguous description of relative placement of body parts	wikipedia
Semi-major axis	semi	a trailer having wheels only in the rear; the front is supported by the towing vehicle	semitrailer, semi	wordnet
Semi-major axis	major	a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain	major	wordnet
Semi-major axis	axis	the center around which something rotates	axis, axis_of_rotation	wordnet
Semi-major axis	major	Majors are students	NA	GenericsKB
Semi-major axis	axis	Axes are linear combinations of fish species	NA	GenericsKB
Eccentricity	eccentricity	In orbital mechanics, the eccentric anomaly is an angular parameter that defines the position of a body that is moving along an elliptic Kepler orbit	"angular parameter that defines the position of a body that is moving along an elliptic Kepler orbit.; one of three angular parameters (""anomalies"") that define a position along an orbit, the other two being the true anomaly and the mean anomaly"	wikipedia
Eccentricity	eccentricity	(geometry) a ratio describing the shape of a conic section; the ratio of the distance between the foci to the length of the major axis	eccentricity	wordnet
Eccentricity	eccentricity	the quality of being eccentric.	NA	owlbot
Eccentricity	eccentricity	Eccentricity is a measure of how an orbit deviates from circular	NA	GenericsKB
Orbital period	orbital period	The orbital period is the time a given astronomical object takes to complete one orbit around another object, and applies in astronomy usually to planets or asteroids orbiting the Sun, moons orbiting planets, exoplanets orbiting other stars, or binary stars. For objects in the Solar System, this is often referred to as the sidereal period , determined by a 360° revolution of one celestial body around another, e.g. the Earth orbiting the Sun. The term sidereal denotes that the object returns to the same position relative to the fixed stars projected in the sky. When describing orbits of binary stars, the orbital period is usually referred to as just the period. For example, Jupiter has a sidereal period of 11.86 years while the main binary star Alpha Centauri AB has a period of about 79.91 years. Another important orbital period definition can refer to the repeated cycles for celestial bodies as observed from the Earth's surface. An example is the so-called synodic period , applying to the elapsed time where planets return to the same kind of phenomena or location, such as when any planet returns between its consecutive observed conjunctions with or oppositions to the Sun. For example, Jupiter has a synodic period of 398.8 days from Earth; thus, Jupiter's opposition occurs once roughly every 13 months. Periods in astronomy are conveniently expressed in various units of time, often in hours, days, or years. They can be also defined under different specific astronomical definitions that are mostly caused by small complex eternal gravitational influences by other celestial objects. Such variations also include the true placement of the centre of gravity between two astronomical bodies , perturbations by other planets or bodies, orbital resonance, general relativity, etc. Most are investigated by detailed complex astronomical theories using celestial mechanics using precise positional observations of celestial objects via astrometry.	time taken for a given object to make one complete orbit around another object, and applies in astronomy to mostly either planets or asteroids orbiting the Sun, moons orbiting planets, exoplanets orbiting other stars, or binary stars	wikipedia
Orbital period	orbital	of or relating to the eye socket	orbital	wordnet
Orbital period	period	the interval taken to complete one cycle of a regularly repeating phenomenon	period	wordnet
Orbital period	orbital period	Orbital period is how long it takes the skyhook to make a full circuit of the body	NA	GenericsKB
Average orbital speed	average	"In colloquial language, an average is a single number taken as representative of a list of numbers. Different concepts of average are used in different contexts. Often ""average"" refers to the arithmetic mean, the sum of the numbers divided by how many numbers are being averaged. In statistics, mean, median, and mode are all known as measures of central tendency, and in colloquial usage any of these might be called an average value."	colloquial term for the central tendency (middle or typical number of a list of numbers, including mean, median and mode)	wikipedia
Average orbital speed	orbital	In physics, an orbit is the gravitationally curved trajectory of an object, such as the trajectory of a planet around a star or a natural satellite around a planet	gravitationally curved path of an object around a point in outer space; circular or elliptical path of one object around another object	wikipedia
Average orbital speed	speed	In everyday use and in kinematics, the speed of an object is the magnitude of the change of its position; it is thus a scalar quantity. The average speed of an object in an interval of time is the distance travelled by the object divided by the duration of the interval; the instantaneous speed is the limit of the average speed as the duration of the time interval approaches zero. Speed has the dimensions of distance divided by time. The SI unit of speed is the metre per second, but the most common unit of speed in everyday usage is the kilometre per hour or, in the US and the UK, miles per hour. For air and marine travel the knot is commonly used. The fastest possible speed at which energy or information can travel, according to special relativity, is the speed of light in a vacuum c = 299792458 metres per second . Matter cannot quite reach the speed of light, as this would require an infinite amount of energy. In relativity physics, the concept of rapidity replaces the classical idea of speed.	magnitude of velocity of motion	wikipedia
Average orbital speed	average	compute the average of	average, average_out	wordnet
Average orbital speed	orbital	of or relating to the eye socket	orbital	wordnet
Average orbital speed	speed	the ratio of the focal length to the diameter of a (camera) lens system	focal_ratio, f_number, stop_number, speed	wordnet
Average orbital speed	average	Averages define that national character, etch the routines of everyday life	NA	GenericsKB
Average orbital speed	orbital	Orbits are elliptical , with the heavier body at one focus of the ellipse	NA	GenericsKB
Average orbital speed	speed	Speed also translates into efficiency of operations	NA	GenericsKB
Mean anomaly	mean anomaly	In celestial mechanics, the mean anomaly is the fraction of an elliptical orbit's period that has elapsed since the orbiting body passed periapsis, expressed as an angle which can be used in calculating the position of that body in the classical two-body problem. It is the angular distance from the pericenter which a fictitious body would have if it moved in a circular orbit, with constant speed, in the same orbital period as the actual body in its elliptical orbit.	one of the orbital elements used to specify the orbit of an object in space	wikipedia
Mean anomaly	mean	an average of n numbers computed by adding some function of the numbers and dividing by some function of n	mean, mean_value	wordnet
Mean anomaly	anomaly	(astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)	anomaly	wordnet
Mean anomaly	mean	Means are implementations	NA	GenericsKB
Mean anomaly	anomaly	Anomalies are percentage phase velocity perturbations	NA	GenericsKB
