key	keyword	definition	description	source
Religion	religion	"Religion is a social-cultural system of designated behaviors and practices, morals, worldviews, texts, sanctified places, prophecies, ethics, or organizations, that relates humanity to supernatural, transcendental, or spiritual elements. However, there is no scholarly consensus over what precisely constitutes a religion. Different religions may or may not contain various elements ranging from the divine, sacred things, faith, a supernatural being or supernatural beings or ""some sort of ultimacy and transcendence that will provide norms and power for the rest of life"". Religious practices may include rituals, sermons, commemoration or veneration , sacrifices, festivals, feasts, trances, initiations, funerary services, matrimonial services, meditation, prayer, music, art, dance, public service, or other aspects of human culture. Religions have sacred histories and narratives, which may be preserved in sacred scriptures, and symbols and holy places, that aim mostly to give a meaning to life. Religions may contain symbolic stories, which are sometimes said by followers to be true, that have the side purpose of explaining the origin of life, the universe, and other things. Traditionally, faith, in addition to reason, has been considered a source of religious beliefs. There are an estimated 10,000 distinct religions worldwide. About 84% of the world's population is affiliated with Christianity, Islam, Hinduism, Buddhism, or some form of folk religion. The religiously unaffiliated demographic includes those who do not identify with any particular religion, atheists, and agnostics. While the religiously unaffiliated have grown globally, many of the religiously unaffiliated still have various religious beliefs. The study of religion encompasses a wide variety of academic disciplines, including theology, comparative religion and social scientific studies. Theories of religion offer various explanations for the origins and workings of religion, including the ontological foundations of religious being and belief."	sacred belief system	wikipedia
Religion	religion	a strong belief in a supernatural power or powers that control human destiny	religion, faith, religious_belief	wordnet
Religion	religion	the belief in and worship of a superhuman controlling power, especially a personal God or gods.	NA	owlbot
Religion	religion	Religion affects everyone at some point	NA	GenericsKB
Status	status	A city is a large human settlement	large permanent human settlement	wikipedia
Status	status	the relative position or standing of things or especially persons in a society	status, position	wordnet
Status	status	relative social or professional position; standing.	NA	owlbot
Status	status	Status affects values	NA	GenericsKB
Capital	capital	Paytakht is a popular Iranian TV series portraying the life a Mazandarani family	Iranian TV comedy series	wikipedia
Capital	capital	a center that is associated more than any other with some activity or product	capital	wordnet
Capital	capital	the city or town that functions as the seat of government and administrative centre of a country or region.	NA	owlbot
Capital	capital	Capital also means wealth	NA	GenericsKB
Common languages	common language	A lingua franca ; lit. 'Frankish tongue'; for plurals see § Usage notes), also known as a bridge language , common language , trade language , auxiliary language , vehicular language , or link language , is a language or dialect systematically used to make communication possible between groups of people who do not share a native language or dialect, particularly when it is a third language that is distinct from both of the speakers' native languages. Lingua francas have developed around the world throughout human history, sometimes for commercial reasons , but also for cultural, religious, diplomatic and administrative convenience, and as a means of exchanging information between scientists and other scholars of different nationalities. The term is taken from the medieval Mediterranean Lingua Franca, a Romance-based pidgin language used as a lingua franca in the Mediterranean Basin from the 11th to the 19th century. A world language – a language spoken internationally and by many people – is a language that may function as a global lingua franca. *: literal translation	languages used to facilitate trade between groups without a common native language	wikipedia
Common languages	common	commonly encountered	common, usual	wordnet
Common languages	languages	a system of words used to name things in a particular discipline	terminology, nomenclature, language	wordnet
Common languages	common	Commons has media related to Animal camouflage	NA	GenericsKB
Common languages	language	Language aids people in adjusting as their culture changes	NA	GenericsKB
Government	government	A government is the system or group of people governing an organized community, often a state, but also other entities like for example companies, especially in the case of colonial companies. In the case of its broad associative definition, government normally consists of legislature, executive, and judiciary. Government is a means by which organizational policies are enforced, as well as a mechanism for determining policy. Each government has a kind of constitution, a statement of its governing principles and philosophy. Typically the philosophy chosen is some balance between the principle of individual freedom and the idea of absolute state authority . While all types of organizations have governance, the term government is often used more specifically, to refer to the approximately 200 independent national governments and subsidiary organizations globally. Historically prevalent forms of government include monarchy, aristocracy, timocracy, oligarchy, democracy, theocracy and tyranny. The main aspect of any philosophy of government is how political power is obtained, with the two main forms being electoral contest and hereditary succession. Libertarianism and anarchism are political ideologies that seek to limit or abolish government, finding government disruptive to self organization and freedom.	system or group of people governing an organized community, often a state	wikipedia
Government	government	the study of government of states and other political units	politics, political_science, government	wordnet
Government	government	the group of people with the authority to govern a country or state; a particular ministry in office.	NA	owlbot
Government	government	Government adopts goals	NA	GenericsKB
Bey	bey	""" Bey "" is a Turkish title for chieftain, traditionally applied to the leaders or rulers of various sized areas in the Ottoman Empire. The feminine equivalent title was Begum. The regions or provinces where ""beys"" ruled or which they administered were called beylik , roughly meaning ""khanate"", ""emirate"" or ""principality"" in the first case and ""province"" or ""governorate"" in the second . Today, the word is still used formally as a social title for men. It follows the name and is used generally with first names and not with last names."	Turkish title for chieftain	wikipedia
Bey	bey	the governor of a district or province in the Ottoman Empire	bey	wordnet
Bey	bey	the governor of a district or province in the Ottoman Empire.	NA	owlbot
Resident-General	resident general	A resident , or in full resident minister , is a government official required to take up permanent residence in another country. A representative of his government, he officially has diplomatic functions which are often seen as a form of indirect rule. A resident usually heads an administrative area called a residency.	3rd-class head of diplomatic mission	wikipedia
Resident-General	resident	used of animals that do not migrate	nonmigratory, resident	wordnet
Resident-General	general	the head of a religious order or congregation	general, superior_general	wordnet
Resident-General	resident	Residents are doctors	NA	GenericsKB
Resident-General	general	Generals are located in war	NA	GenericsKB
High Commissioner (1955 - 1956) 	high commissioner	High commissioner is the title of various high-ranking, special executive positions held by a commission of appointment. The English term is also used to render various equivalent titles in other languages.	the title of various high-ranking, special executive positions held by a commission of appointment	wikipedia
High Commissioner (1955 - 1956) 	high	an air mass of higher than normal pressure	high	wordnet
High Commissioner (1955 - 1956) 	commissioner	a member of a commission	commissioner	wordnet
High Commissioner (1955 - 1956) 	high	Highs are liquid as silicon gel	NA	GenericsKB
High Commissioner (1955 - 1956) 	commissioner	Commissioner is a leader	NA	GenericsKB
Treaty of Bardo 	treaty	A treaty is a formal written agreement entered into by actors in international law, namely sovereign states and international organizations. A treaty may also be known as an international agreement , protocol , covenant , convention , pact , or exchange of letters , among other terms. Regardless of terminology, only instruments that are binding upon the parties are considered treaties subject to international law. Treaties can be loosely compared to contracts, in that the parties willingly assume binding obligations among themselves, and any party that breaches its obligations can be held liable under international law. Treaties vary significantly in substance and complexity, and may govern a wide variety of matters, such as territorial boundaries, trade and commerce, political alliances, and more. International law on treaties have mostly been codified by the Vienna Convention on the Law of Treaties, which sets forth the rules and procedures for creating, enforcing, amending, and interpreting treaties. As one of the earliest manifestations of international relations, treaties are recognized as a primary source of international law.	express agreement under international law entered into by actors in international law	wikipedia
